0.35,30.81,1886250
0.39,31.16,1700625
0.44,30.98,1375781
0.58,30.36,865312
0.74,30.24,494062
0.82,31.13,494062
1.15,31.24,447656
13.33,43.61,105409
2.08,31.66,262031
3.66,33.16,215625
37.06,64.48,59003
48.50,69.67,47401

